"Type","Start","End","Duration","Start Condition","Start Location","End Condition","Notes"
"Sleep","2024-08-10 23:46","2024-08-11 02:24","02:38",,,,
"Feed","2024-08-10 23:25","2024-08-10 23:37","00:11","00:11R","Breast","Null l",
"Feed","2024-08-10 22:52","2024-08-10 23:13","00:21","00:21R","Breast","Null l",
"Diaper","2024-08-10 22:15",,,,,"Pee",
"Feed","2024-08-10 21:24","2024-08-10 21:48","00:23","Null r","Breast","00:23L",
"Sleep","2024-08-10 20:31","2024-08-10 21:04","00:33",,,,
"Diaper","2024-08-10 19:48",,,,,"Pee",
"Feed","2024-08-10 19:29","2024-08-10 19:44","00:15","00:15R","Breast","Null l",
"Feed","2024-08-10 19:02","2024-08-10 19:08","00:06","00:06R","Breast","Null l",
"Sleep","2024-08-10 18:00","2024-08-10 19:29","01:29",,,,
"Feed","2024-08-10 17:23","2024-08-10 17:57","00:34","00:34R","Breast","Null l",
"Feed","2024-08-10 17:04","2024-08-10 17:14","00:10","00:10R","Breast","Null l",
"Diaper","2024-08-10 16:51",,,,,"Pee",
"Feed","2024-08-10 15:37","2024-08-10 15:52","00:15","Null r","Breast","00:15L",
"Diaper","2024-08-10 15:00",,,,,"Poo",
"Feed","2024-08-10 14:12","2024-08-10 14:34","00:21","00:21R","Breast","Null l",
"Sleep","2024-08-10 13:57","2024-08-10 14:08","00:10",,,,
"Feed","2024-08-10 13:50","2024-08-10 13:57","00:07","Null r","Breast","00:07L",
"Diaper","2024-08-10 13:37",,,,,"Both",
"Sleep","2024-08-10 13:20","2024-08-10 13:27","00:07",,,,
"Feed","2024-08-10 12:57","2024-08-10 13:09","00:12","Null r","Breast","00:12L",
"Diaper","2024-08-10 12:15",,,,,"Pee",
"Sleep","2024-08-10 11:18","2024-08-10 12:50","01:32",,,,
"Feed","2024-08-10 11:11","2024-08-10 11:17","00:05","00:05R","Breast","Null l",
"Feed","2024-08-10 10:56","2024-08-10 11:01","00:04","00:04R","Breast","Null l",
"Feed","2024-08-10 09:46","2024-08-10 10:24","00:37","00:09R","Breast","00:28L",
"Diaper","2024-08-10 09:30",,,,,"Pee",
"Sleep","2024-08-10 05:52","2024-08-10 09:22","03:30",,,,
"Feed","2024-08-10 05:13","2024-08-10 05:42","00:28","00:28R","Breast","Null l",
"Diaper","2024-08-10 04:55",,,,,"Both",
"Sleep","2024-08-09 22:51","2024-08-10 04:51","06:00",,,,
"Feed","2024-08-09 21:12","2024-08-09 22:24","01:11","00:34R","Breast","00:37L",
"Diaper","2024-08-09 20:24",,,,,"Pee",
"Feed","2024-08-09 19:21","2024-08-09 19:45","00:24","Null r","Breast","00:24L",
"Sleep","2024-08-09 19:01","2024-08-09 19:15","00:13",,,,
"Feed","2024-08-09 18:46","2024-08-09 18:58","00:11","00:11R","Breast","Null l",
"Diaper","2024-08-09 17:47",,,,,"Pee",
"Sleep","2024-08-09 17:20","2024-08-09 17:42","00:22",,,,
"Feed","2024-08-09 16:26","2024-08-09 17:19","00:53","00:26R","Breast","00:26L",
"Feed","2024-08-09 15:49","2024-08-09 16:10","00:20","00:20R","Breast","Null l",
"Diaper","2024-08-09 15:35",,,,,"Pee",
"Sleep","2024-08-09 14:56","2024-08-09 15:09","00:13",,,,
"Feed","2024-08-09 14:08","2024-08-09 14:55","00:47","00:34R","Breast","00:13L",
"Diaper","2024-08-09 13:58",,,,,"Pee",
"Sleep","2024-08-09 13:30","2024-08-09 13:50","00:20",,,,
"Feed","2024-08-09 12:50","2024-08-09 13:28","00:38","00:24R","Breast","00:13L",
"Feed","2024-08-09 11:19","2024-08-09 12:11","00:52","00:30R","Breast","00:22L",
"Diaper","2024-08-09 11:15",,,,,"Both",
"Sleep","2024-08-09 09:50","2024-08-09 11:08","01:18",,,,
"Feed","2024-08-09 09:05","2024-08-09 09:49","00:44","00:14R","Breast","00:29L",
"Diaper","2024-08-09 08:59",,,,,"Both",
"Sleep","2024-08-09 07:56","2024-08-09 08:39","00:42",,,,
"Diaper","2024-08-09 06:53",,,,,"Both",
"Feed","2024-08-09 06:53","2024-08-09 07:46","00:53","00:32R","Breast","00:20L",
"Sleep","2024-08-09 05:22","2024-08-09 06:14","00:51",,,,
"Feed","2024-08-09 04:20","2024-08-09 05:14","00:54","00:33R","Breast","00:21L",
"Diaper","2024-08-09 02:10",,,,,"Pee",
"Sleep","2024-08-08 23:58","2024-08-09 04:20","04:21",,,,
"Feed","2024-08-08 22:34","2024-08-08 23:23","00:48","00:14R","Breast","00:34L",
"Diaper","2024-08-08 22:22",,,,,"Pee",
"Sleep","2024-08-08 18:51","2024-08-08 22:19","03:28",,,,
"Feed","2024-08-08 17:45","2024-08-08 18:24","00:39","00:29R","Breast","00:09L",
"Diaper","2024-08-08 17:38",,,,,"Pee",
"Sleep","2024-08-08 16:05","2024-08-08 17:23","01:18",,,,
"Diaper","2024-08-08 15:39",,,,,"Both",
"Feed","2024-08-08 14:51","2024-08-08 15:17","00:25","Null r","Breast","00:25L",
